generos_id,ID,Pais_Origen,lenguage_original,Nombre_Original,Resumen,Popularidad,Fecha_primer_estreno,Nombre,Promedio_voto,Conteo_votos,Critica
18,1396,US,en,Breaking Bad,Un profesor de química con cáncer terminal se asocia con un exalumno suyo para fabricar y vender metanfetamina a fin de que su familia no pase apuros económicos.,123.5705,2008-01-20,Breaking Bad,8.9,17744,Altamente aceptado por la critica
16,209867,JP,ja,葬送のフリーレン,"Décadas después de que su grupo derrotara al Rey Demonio, el funeral de un viejo amigo lleva a la hechicera elfa Frieren a embarcarse en un viaje de autodescubrimiento.",82.4396,2023-09-29,Frieren: Tras finalizar el viaje,8.799,823,Aceptado por la critica
35,64010,KR,ko,응답하라 1988,"Answer Me 1988: Los tiempos pueden haber sido un poco más simples, menos tecnológicos, pero aún así era igual de difícil sobrellevar un día típico en la vida a finales de 1980. Cinco amigos de la infancia, que viven todos en el mismo barrio Ssangmundong de Seúl, se apoyan mutuamente para sobrevivir la compleja adolescencia y forjarse un camino para el futuro. Sung Deok Sol (Hyeri) lucha por atención siendo el hijo del medio en su pobre familia, mientras que también lleva el peso de tener el lugar 989o en la escuela. Kim Jung Hwan (Ryu Joon Yeol) solamente tiene una cosa en mente, el fútbol, ​​incluso después de que su familia se vuelve rica de la noche a la mañana. Sung Woo Sun (Ko Gyung Pyo) es el estudiante perfecto, Presidente del Consejo Estudiantil y un hijo atento y confiable en su familia. Ryu Dong Ryong (Lee Dong Hwi) es un geek que sabe más sobre las niñas y la vida que el resto de sus amigos, pero su mala calificación académica le impide poder ir a la universidad. Choi Taek (Park Bo Gum) es un jugador genio de Go, que dejó la escuela para convertirse en profesional. A medida que el grupo de amigos se mete y sale de travesuras en el barrio, ¿qué experiencias de estos tiempos memorables juntos se van a llevar con ellos a su vida futura?",19.903,2015-11-06,Respuesta 1988,8.779,210,Aceptado por la critica
16,246,US,en,Avatar: The Last Airbender,"La historia transcurre en un mundo de gente principalmente asiática (el estilo de vida en la serie se basa en la primera mitad del siglo XIX), donde predominan las artes marciales y la manipulación de los elementos en combinación con el misticismo oriental, dando seguimiento a las aventuras de Aang, el más reciente sucesor de una larga línea de avatares, y sus amigos en un intento por salvar su místico mundo de la despiadada Nación del Fuego que busca conquistar a las demás naciones. Durante sus travesías son acechados insistentemente por el desterrado príncipe del fuego Zuko, cuyo objetivo es capturar al avatar para recuperar su honor. Esta serie es presentada como si se tratara de una serie de libros, en donde cada episodio actúa como un «capítulo», y cada temporada como un solo «libro», los cuales se titulan por el elemento temático de la temporada.",23.9779,2005-02-21,Avatar: La leyenda de Aang,8.8,4825,Aceptado por la critica
16,94605,US,en,Arcane,"Con las dispares ciudades de Piltover y Zaun como telón de fondo, dos hermanas luchan en bandos opuestos de una guerra entre tecnologías mágicas y creencias enfrentadas.",38.192,2021-11-06,Arcane,8.754,5882,Aceptado por la critica
18,250307,US,en,The Pitt,"The Pitt ofrece una visión realista de los retos a los que se enfrenta el personal sanitario en los Estados Unidos de hoy, visto a través de la lente de los héroes de primera línea que trabajan en un hospital de la actualidad en Pittsburgh, Pensilvania.",58.6526,2025-01-09,The Pitt,8.737,741,Aceptado por la critica
10759,37854,JP,ja,ワンピース,"Esta historia se sitúa en el momento más álgido de la Gran Era de los Piratas, cuando el joven Monkey D. Luffy quiere llegar a ser el Rey de los Piratas y hacerse al fin con un legendario tesoro, el One Piece.",61.892,1999-10-20,One Piece,8.7,5297,Aceptado por la critica
18,301507,CA,en,Heated Rivalry,"Dos de las mayores estrellas de la Major League Hockey están unidas por la ambición, la rivalidad y una atracción magnética que ninguna de las dos comprende del todo. Lo que comienza como una aventura secreta entre dos novatos se convierte en un viaje de años de amor, negación y autodescubrimiento. Durante los siguientes ocho años, mientras buscan la gloria sobre el hielo, luchan por comprender sus sentimientos mutuos. Divididos entre el deporte que les apasiona y el amor que no pueden ignorar, deben decidir si hay espacio en su mundo ferozmente competitivo para algo tan frágil —y poderoso— como el amor verdadero.",25.4213,2025-11-28,Más que rivales,8.727,467,Aceptado por la critica
18,219246,KR,ko,폭싹 속았수다,"En la isla de Jeju, una chica llena de vida y un joven decidido viven una historia repleta de desafíos y triunfos que demuestra que el amor puede trascender el tiempo.",30.6521,2025-03-07,Si la vida te da mandarinas...,8.716,522,Aceptado por la critica
10759,85077,US,en,The Chosen,"Por primera vez, la historia más grande jamás contada se presenta en una serie de varias temporadas. Enfocada en los personajes y el contexto histórico de los Evangelios, la primera temporada del mayor proyecto audiovisual producido mediante crowdfunding nos muestra a personas como Pedro, Nicodemo, María Magdalena, Mateo y, por supuesto, Jesús, de una manera nunca vista antes en pantalla. La serie muestra la parte más auténtica e íntima de la vida y el ministerio de una de las figuras más importantes e influyentes de la Historia de la humanidad.",43.5792,2019-04-21,The Chosen (Los elegidos),8.713,855,Aceptado por la critica
18,87108,US,en,Chernobyl,"En Abril de 1986, la Central Nuclear de Chernóbil en Ucrania (en aquel entonces, la Unión Soviética), sufrió una explosión masiva que liberó material radioactivo en Bielorrusia, Rusia, Ucrania, así como en zonas de Escandinavia y Europa Central. La serie relata lo que aconteció en 1986, en uno de los mayores desastres provocados por el hombre en la historia reciente, así como los sacrificios realizados para salvar al continente de un desastre sin precedentes.",33.7681,2019-05-06,Chernobyl,8.709,7850,Aceptado por la critica
80,60059,US,en,Better Call Saul,"Esta precuela de ""Breaking Bad"" nominada al Emmy narra la vida del picapleitos Jimmy McGill y su transformación en Saul Goodman, el abogado de moral laxa.",81.9212,2015-02-08,Better Call Saul,8.705,6467,Aceptado por la critica
16,31911,JP,ja,鋼の錬金術師 FULLMETAL ALCHEMIST,"Remake de Fullmetal Alchemist. Edward y Alphonse rompieron la regla basica de la alquimia, la cual les trajo graves consecuencias. Para remediar esto, se embarcan en busca de alguna forma de solucionar sus males",57.3417,2009-04-05,Fullmetal Alchemist: Brotherhood,8.705,2443,Aceptado por la critica
16,1429,JP,ja,進撃の巨人,"Tras un siglo de aparente paz, un titán colosal rompe las murallas que protegían a la humanidad, desatando una nueva masacre. Eren Jaeger y el Cuerpo de Exploradores lucharán para recuperar su mundo y enfrentar la amenaza titán.",37.2429,2013-04-07,Ataque a los Titanes,8.7,7404,Aceptado por la critica
16,60625,US,en,Rick and Morty,"Comedia animada que narra las aventuras de un científico loco Rick Sánchez, que regresa después de 20 años para vivir con su hija, su marido y sus hijos Morty y Summer.",79.584,2013-12-02,Rick y Morty,8.7,10843,Aceptado por la critica
80,1398,US,en,The Sopranos,"Los Soprano (The Sopranos) es una serie de televisión estadounidense creada y producida por David Chase. La serie se estrenó en Estados Unidos el 10 de enero de 1999 por el canal de televisión por cable HBO, que la emitió ininterrumpidamente hasta su desenlace, el 10 de junio de 2007. La trama de la serie gira en torno al mafioso de Nueva Jersey Tony Soprano (James Gandolfini) y las dificultades que enfrenta tanto en su hogar como en la organización criminal que dirige. A su vez, la serie también se centra en la historia de los personajes cercanos a Tony, especialmente su esposa Carmela (Edie Falco) y su sobrino y protegido Christopher Moltisanti (Michael Imperioli).",91.4186,1999-01-10,Los Soprano,8.7,3443,Aceptado por la critica
